Time (ms), PV cell voltage (mV), Biosensor current (nA)
558108,489.625,1190.5,
558311,493.5,1189.125,
558514,489.75,1182.375,
558717,492.375,1193.375,
558920,493,1183.625,
559123,489.375,1188.75,
559326,493.5,1191.5,
559529,490.125,1182.25,
559732,491.375,1193,
559935,493.5,1185.125,
560138,489.375,1185,
560341,493.25,1192.25,
560545,491,1182.25,
560748,490,1192.125,
560950,493.5,1188.5,
561154,489.625,1182.625,
561357,492.75,1192.5,
561559,492.375,1182.75,
561764,489.5,1191.25,
561967,493.5,1191,
562170,489.75,1182.25,
562372,492.5,1192.375,
562594,493,1183.25,
562778,489.375,1189.125,
562982,493.375,1192.875,
563185,490.25,1182.25,
563387,491.25,1192.125,
563590,493.5,1184.5,
563794,489.5,1185.75,
563998,493.25,1193.625,
564200,490.75,1182.25,
564404,490.25,1191.25,
564606,493.625,1186.625,
564809,489.625,1183.625,
565012,492.875,1193.875,
565216,492.25,1182.75,
565419,489.625,1190.375,
565623,493.625,1190,
565824,489.75,1182.5,
566028,492.375,1193.375,
566232,493,1183.5,
566434,489.5,1188.75,
566637,493.5,1191.375,
566840,490.125,1182,
567044,491.375,1192.875,
567247,493.375,1184.625,
567450,489.5,1185.5,
567653,493.375,1192.25,
567856,490.625,1182.125,
568059,490.25,1192.5,
568261,493.625,1185.875,
568466,489.5,1183.625,
568669,493.125,1192.375,
568871,491.625,1182.5,
569074,489.625,1191.75,
569278,493.5,1189.375,
569481,489.75,1182.125,
569684,492.75,1192.25,
569886,492.625,1182.625,
570094,489.375,1190.25,
570293,493.5,1191.75,
570497,490,1181.875,
570698,491.875,1192.125,
570903,493.375,1183.75,
571106,489.25,1186.625,
571308,493.25,1193.625,
571512,490.625,1182.25,
571714,490.375,1191.5,
571917,493.625,1185.875,
572120,489.375,1184.25,
572324,492.875,1193.875,
572527,492.25,1183,
572730,489.625,1189.75,
572959,493.5,1190.25,
573136,489.875,1182.625,
573339,492,1193.375,
573543,493.25,1184.125,
573745,489.5,1186,
573949,493.375,1192.5,
574151,490.5,1182.625,
574355,490.5,1192.75,
574558,493.625,1186,
574761,489.5,1183.375,
574964,493,1192.625,
575168,491.625,1182.75,
575371,489.625,1191.75,
575573,493.5,1190,
575777,489.75,1182,
575979,492.5,1191.875,
576182,492.875,1183.375,
576385,489.375,1190.375,
576589,493.5,1192,
576792,490.125,1181.5,
576994,491.25,1191.75,
577199,493.5,1184.875,
577400,489.375,1186,
577605,493.25,1193.375,
577808,490.75,1182.125,
578010,490.125,1191.25,
578213,493.625,1187.125,
578417,489.625,1184.125,
578619,493,1193.5,
578823,491.75,1182.5,
579025,489.625,1190.5,
579229,493.625,1190,
579432,489.75,1183,
579657,492.5,1193.5,
579838,492.875,1183.25,
580040,489.375,1188.75,
580244,493.5,1191.875,
580447,490.125,1182.75,
580650,491.5,1193.25,
580863,493.5,1184.375,
581056,489.375,1185.75,
581260,493.25,1192.875,
581462,490.5,1182.75,
581666,490.5,1193,
581869,493.625,1185.875,
582072,489.375,1183.75,
582274,493.125,1192.875,
582477,491.5,1182.875,
582681,489.75,1192.25,
582884,493.5,1189,
583087,489.625,1182.5,
583289,492.875,1192.625,
583493,492.5,1183.375,
583696,489.5,1191.125,
583899,493.5,1191.125,
584101,489.875,1182,
584305,492.25,1192.125,
584530,493,1183.5,
584718,489.375,1189.125,
584914,493.375,1192.375,
585118,490.25,1181.875,
585320,491.25,1192,
585524,493.5,1184.75,
585751,489.375,1186.375,
585937,493.375,1193,
586133,490.5,1181.75,
586336,490.5,1191.625,
586539,493.625,1185.625,
586743,489.5,1184.625,
586945,493.125,1193.375,
587149,491.375,1182.375,
587351,489.875,1190.75,
587554,493.625,1187.875,
587757,489.625,1183,
587962,492.75,1193,
588163,492.5,1182.375,
588367,489.5,1189.5,
588570,493.5,1190,
588772,489.875,1182.25,
588975,492.375,1192.875,
589179,493.125,1183.125,
589381,489.5,1187.5,
589585,493.375,1191.75,
589788,490.25,1181.875,
589991,490.75,1192.375,
590194,493.625,1185.125,
590397,489.5,1183.5,
590600,493.125,1192.375,
590804,491.25,1182.25,
591007,489.875,1191.625,
591209,493.625,1188.5,
591413,489.625,1181.875,
591617,492.75,1192.125,
591819,492.625,1182.875,
592030,489.375,1190.25,
592225,493.5,1191.125,
592428,489.875,1181.375,
592632,492,1192.125,
592834,493.25,1184,
593037,489.375,1187,
593241,493.375,1193,
593444,490.5,1181.75,
593647,490.5,1191.5,
593850,493.625,1185.75,
594055,489.375,1184.375,
594256,493,1193.5,
594460,491.625,1182.375,
594662,489.75,1190.625,
594866,493.625,1189.875,
595080,489.625,1183,
595272,492.5,1193.375,
595475,493,1183.25,
595678,489.5,1188.625,
595881,493.5,1192.375,
596084,490.125,1182.875,
596289,491.25,1193.375,
596491,493.5,1184.625,
596693,489.5,1185.5,
596897,493.25,1193,
597099,490.625,1183,
597303,490.375,1192.75,
597507,493.625,1186.5,
597709,489.5,1183.5,
597912,493.125,1193,
598116,491.625,1183.375,
598319,489.625,1191.875,
598545,493.625,1189.625,
598751,489.75,1182.125,
598941,492.625,1192.625,
599131,492.75,1183.75,
599334,489.25,1190,
599572,493.375,1192.125,
599751,490.125,1181.875,
599968,490.875,1191.875,
600151,493.5,1185.625,
600349,489.375,1184.375,
600553,492.875,1193.375,
600764,492.125,1182.375,
600958,489.625,1190.375,
601162,493.625,1191,
601392,489.875,1182.875,
601596,492.125,1193.25,
601771,493.25,1183.875,
601975,489.5,1186.25,
602178,493.375,1193.25,
602380,490.75,1183.125,
602584,490.25,1192.5,
602810,493.625,1187.125,
603015,489.5,1182.625,
603193,493,1193.125,
603423,492.5,1183.75,
603611,489.5,1191,
603813,493.625,1191.125,
604022,489.875,1181.75,
604220,491.875,1192.5,
604438,493.25,1184.625,
604642,489.375,1187.375,
604818,493.25,1192.625,
605028,490.375,1181.625,
605234,490.625,1192,
605436,493.625,1186.375,
605643,489.5,1185,
605860,493.125,1193.125,
606036,491.75,1182.25,
606240,489.75,1190.625,
606469,493.5,1190.375,
606673,489.75,1183.25,
606860,492.625,1193,
607051,492.875,1182.875,
607266,489.5,1189.25,
607458,493.5,1192.25,
607662,490.125,1182.875,
607864,491.5,1192.75,
608067,493.375,1184.25,
608270,489.5,1185.375,
608502,493.375,1193.25,
608688,490.75,1183.125,
608891,490.375,1192.5,
609082,493.625,1187,
609286,489.625,1183,
609489,493,1193.5,
609692,492.125,1183.625,
609906,489.75,1191.625,
610124,493.625,1189.5,
610302,489.75,1182.25,
610504,492.625,1193.375,
610708,492.625,1183.875,
610939,489.5,1190.25,
611125,493.5,1191.25,
611317,490,1181.625,
611520,492,1192.875,
611752,493.375,1184.75,
611926,489.375,1188.25,
612130,493.375,1192.625,
612333,490.25,1181.625,
612535,491,1192.125,
612766,493.5,1185.375,
612967,489.5,1185.375,
613173,493.125,1193,
613375,490.875,1181.375,
613566,490.25,1191.5,
613781,493.625,1186.875,
613983,489.5,1184,
614172,493,1192.875,
614364,491.875,1182,
614592,489.625,1190.625,
614782,493.625,1190,
614986,489.75,1182.875,
615187,492.625,1193,
615380,492.75,1182.75,
615582,489.5,1189.375,
615816,493.5,1191.75,
615989,490,1182.625,
616203,491.75,1192.875,
616407,493.375,1183.625,
616613,489.5,1186.75,
616802,493.375,1192.75,
617031,490.375,1182.625,
617217,490.625,1192.5,
617410,493.625,1185.25,
617642,489.5,1184,
617832,493.125,1193.25,
618020,491.125,1182.875,
618223,489.875,1191.875,
618427,493.625,1188.75,
618630,489.75,1181.75,
618832,492.625,1192.875,
619035,492.625,1183.625,
619238,489.5,1190.25,
619467,493.5,1191,
619658,490,1181.375,
619847,492,1192.5,
620051,493.25,1184,
620254,489.375,1188.75,
620458,493.5,1192.25,
620676,490.25,1181.5,
620863,491,1191.875,
621066,493.5,1185.25,
621269,489.375,1185.25,
621473,493.25,1193,
621675,491,1181.75,
621879,490.125,1191.125,
622083,493.5,1188.125,
622286,489.625,1183.625,
622515,492.75,1193,
622705,492.25,1182.375,
622908,489.5,1189.75,
623108,493.5,1190.75,
623314,489.875,1182.625,
623504,492.25,1193,
623707,493,1183.25,
623910,489.375,1188.25,
624114,493.5,1192.25,
624328,490.125,1182.625,
624520,491.125,1192.625,
624735,493.5,1184.375,
624935,489.5,1184.375,
625129,493.25,1193.125,
625331,490.75,1182.75,
625562,490.125,1192.125,
625766,493.5,1187,
625941,489.5,1182.375,
626145,492.875,1192.875,
626347,492.25,1183.25,
626551,489.5,1191,
626782,493.5,1190.75,
626970,489.875,1181.375,
627159,492.125,1192.5,
627363,493.25,1184,
627566,489.375,1188.5,
627769,493.375,1192.625,
627972,490.25,1181.375,
628176,491,1192,
628378,493.625,1185.625,
628609,489.5,1185.875,
628785,493.25,1193.375,
628987,491,1181.75,
629209,490.125,1191.125,
629394,493.5,1186.375,
629597,489.5,1184.5,
629816,493.125,1193.25,
630004,491.75,1182.125,
630207,489.75,1190.625,
630427,493.625,1189.875,
630623,489.75,1183,
630818,492.5,1193.125,
631019,492.875,1182.625,
631222,489.375,1188.625,
631425,493.5,1191.5,
631628,490.125,1182.75,
631842,491.5,1193.25,
632034,493.25,1184.125,
632238,489.5,1184.875,
632454,493.25,1192.75,
632643,490.75,1182.5,
632847,490.375,1192.625,
633050,493.5,1186.5,
633253,489.5,1183.125,
633471,493,1192.625,
633661,491.75,1182.875,
633878,489.75,1191.75,
634076,493.5,1189.625,
634281,489.75,1181.875,
634472,492.375,1192.125,
634675,492.875,1183.5,
634894,489.375,1190,
635093,493.375,1192.125,
635284,490.125,1181.625,
635500,491.625,1192,
635693,493.375,1184.25,
635911,489.5,1187.5,
636109,493.25,1193.25,
636301,490.625,1182.125,
636504,490.5,1191.5,
636718,493.625,1186.375,
636920,489.625,1184,
637125,493,1193.75,
637327,492.125,1182.75,
637518,489.75,1190.625,
637722,493.625,1190,
637925,489.875,1182.75,
638128,492.375,1193.625,
638346,492.875,1183.375,
638551,489.5,1188.625,
638752,493.375,1191.875,
638941,490.125,1182.375,
639146,491.25,1193.25,
639350,493.5,1184.75,
639562,489.375,1185.5,
639753,493.375,1192.75,
639979,490.625,1182.5,
640159,490.5,1192.875,
640390,493.625,1186.125,
640565,489.5,1184.125,
640781,493.125,1192.625,
640982,491.375,1182.5,
641175,490,1192.5,
641379,493.625,1188.375,
641591,489.5,1183,
641785,492.875,1192.75,
641987,492.375,1182.875,
642191,489.5,1191.375,
642407,493.5,1191.125,
642597,489.875,1182.375,
642801,492.25,1192.625,
643003,493.125,1183.5,
643207,489.375,1189.5,
643409,493.5,1193.25,
643612,490.25,1182.625,
643828,491.375,1192.5,
644035,493.5,1184.75,
644222,489.375,1185.875,
644424,493.125,1194,
644628,490.875,1182.75,
644831,490.25,1192,
645047,493.625,1186.375,
645252,489.5,1184.625,
645440,493.125,1194.25,
645670,491.375,1183.125,
645861,489.875,1191.625,
646061,493.5,1187.75,
646267,489.625,1183.875,
646457,492.875,1194,
646687,492.125,1183.625,
646878,489.625,1191.125,
647077,493.5,1189.625,
647268,489.75,1183,
647473,492.5,1193.75,
647675,492.75,1184.25,
647878,489.375,1190.125,
648081,493.375,1191.375,
648284,490,1182.625,
648487,491.875,1193.5,
648691,493.125,1184.875,
648906,489.375,1188.125,
649096,493.375,1192.375,
649300,490.25,1182.5,
649504,490.875,1193.25,
649706,493.5,1185.75,
649909,489.375,1185.75,
650112,493.25,1192.75,
650315,490.875,1182.25,
650518,490.125,1192.375,
650723,493.625,1188.125,
650952,489.625,1183.25,
651139,492.75,1192.625,
651331,492.5,1182.75,
651534,489.5,1190.625,
651737,493.5,1192.125,
651954,489.875,1182.625,
652143,492.125,1192.75,
652347,493.25,1183.5,
652563,489.5,1188.25,
652752,493.5,1193.375,
652955,490.375,1182.875,
653159,490.875,1192.5,
653361,493.625,1184.625,
653580,489.375,1184.875,
653784,493.25,1194,
653971,491,1182.875,
654174,490.125,1191.625,
654389,493.625,1186.25,
654580,489.5,1183.25,
654785,493,1193.75,
654987,492,1183.5,
655189,489.625,1191.5,
655407,493.625,1189.375,
655610,489.75,1182.375,
655799,492.625,1193.5,
656002,492.625,1184.125,
656217,489.5,1190.75,
656421,493.625,1191,
656626,490,1182,
656829,492.25,1193.375,
657031,493.125,1184.625,
657220,489.375,1189,
657424,493.375,1192.375,
657627,490.25,1181.875,
657830,491.125,1192.75,
658033,493.5,1185.625,
658237,489.375,1186.25,
658444,493.25,1193,
658642,490.75,1181.75,
658845,490.375,1192.375,
659049,493.5,1186.75,
659252,489.5,1185.25,
659457,493.125,1193.375,
659658,491.25,1182.125,
659877,490,1191.875,
660064,493.5,1187.625,
660280,489.625,1184.75,
660471,493,1193.375,
660673,491.625,1182.625,
660877,489.75,1191.375,
661080,493.5,1190.375,
661282,489.75,1184,
661486,492.625,1193.75,
661705,492.5,1183.25,
661892,489.5,1190.25,
662096,493.5,1192.25,
662312,490,1183.5,
662501,492,1193.75,
662704,493.125,1184.125,
662908,489.375,1188,
663110,493.375,1193.25,
663328,490.25,1183.625,
663517,491,1193.5,
663719,493.625,1185.125,
663923,489.5,1185.5,
664126,493.25,1193.625,
664340,490.625,1183.375,
664532,490.25,1193.125,
664735,493.625,1186.625,
664938,489.5,1183.75,
665142,493,1193.375,
665361,491.5,1183.875,
665548,489.625,1192.5,
665751,493.5,1190.25,
665954,489.75,1182.625,
666163,492.625,1193.25,
666360,492.5,1183.875,
666564,489.5,1191.375,
666766,493.5,1191.625,
666969,489.875,1182.125,
667173,492.125,1192.875,
667376,493.25,1184.5,
667579,489.375,1189.5,
667785,493.375,1193.125,
667986,490.25,1182,
668188,491.375,1192.375,
668391,493.375,1184.875,
668594,489.5,1187.25,
668812,493.375,1193.625,
669001,490.5,1182,
669203,490.5,1191.75,
669423,493.5,1186,
669627,489.5,1185.125,
669812,493.125,1194,
670016,491.25,1182.75,
670220,489.875,1191.125,
670422,493.625,1188.375,
670641,489.625,1183.75,
670829,492.875,1193.875,
671031,492.375,1183.25,
671236,489.5,1189.75,
671439,493.625,1191,
671658,489.875,1182.75,
671846,492.25,1193.875,
672047,492.875,1183.875,
672251,489.375,1188.875,
672468,493.5,1191.375,
672657,490.125,1182.5,
672859,491.875,1193.625,
673062,493.25,1184.5,
673280,489.375,1187.25,
673468,493.5,1192.25,
673672,490.375,1182.625,
673890,490.875,1193.25,
674078,493.5,1185.25,
674281,489.5,1185.375,
674497,493.125,1192.5,
674687,491,1182.5,
674890,490.25,1192.625,
675107,493.5,1187.75,
675297,489.625,1183.75,
675500,493,1192.75,
675719,492.125,1182.75,
675905,489.5,1191.375,
676110,493.5,1190.75,
676327,489.75,1182.75,
676517,492.5,1192.625,
676732,492.75,1183.125,
676923,489.5,1189.75,
677124,493.375,1192.5,
677327,490,1182.375,
677532,491.75,1192.375,
677733,493.375,1183.875,
677937,489.5,1186.625,
678140,493.25,1193.625,
678343,490.625,1182.625,
678546,490.375,1192,
678749,493.625,1185.5,
678953,489.5,1183.75,
679171,493,1193.75,
679376,491.75,1183.25,
679565,489.75,1191.25,
679768,493.625,1188.625,
679973,489.625,1182.75,
680174,492.75,1193.625,
680379,492.5,1183.875,
680581,489.5,1190.5,
680783,493.5,1190.625,
680984,489.875,1182.125,
681202,492.125,1193.5,
681390,493.25,1184.875,
681593,489.5,1187.625,
681812,493.375,1192.625,
682016,490.5,1182.25,
682203,490.75,1193.125,
682423,493.5,1186.625,
682609,489.5,1185.125,
682811,493.25,1193.125,
683033,490.875,1182.25,
683236,490.125,1192.5,
683421,493.625,1187.5,
683625,489.5,1184.375,
683828,493,1193.125,
684049,491.5,1182.75,
684257,489.75,1191.75,
684452,493.5,1190.75,
684657,489.625,1183.25,
684862,492.625,1193.125,
685046,492.75,1183.5,
685268,489.375,1190.625,
685452,493.5,1192.625,
685670,490,1183,
685879,491.625,1193,
686077,493.375,1184.375,
686265,489.375,1187,
686468,493.25,1193.875,
686671,490.625,1183.375,
686874,490.5,1192.625,
687077,493.5,1185.5,
687294,489.375,1184.5,
687484,493.125,1194.375,
687692,491.125,1183.75,
687904,490,1192.25,
688092,493.5,1187.625,
688314,489.625,1183.875,
688515,492.875,1194.125,
688708,491.875,1184,
688933,489.625,1191.875,
689110,493.375,1189.5,
689315,489.75,1183.125,
689518,492.625,1194.25,
689721,492.625,1184.75,
689931,489.5,1190.75,
690142,493.375,1191.875,
690330,489.875,1182.75,
690529,492.125,1194.125,
690733,493.125,1185.125,
690936,489.375,1189.875,
691156,493.5,1192.875,
691342,490.125,1182.75,
691545,491.125,1193.75,
691749,493.5,1186.5,
691954,489.5,1186.75,
692155,493.25,1193.875,
692357,490.875,1182.875,
692561,490.125,1193.125,
692782,493.625,1188,
692969,489.5,1185.125,
693169,493,1193.875,
693395,491.75,1183,
693576,489.625,1192,
693779,493.5,1190.375,
693982,489.625,1184,
694186,492.625,1193.75,
694407,492.625,1183.5,
694610,489.375,1190.25,
694796,493.5,1192.875,
694998,490,1183.625,
695218,491.875,1193.625,
695406,493.25,1184.5,
695609,489.375,1188.5,
695813,493.375,1193.625,
696016,490.25,1183.75,
696216,491.125,1193.75,
696423,493.375,1185.5,
696625,489.5,1186.125,
696826,493.125,1194.25,
697034,490.625,1183.875,
697233,490.375,1193.375,
697435,493.625,1186.375,
697655,489.5,1184.625,
697859,493.125,1194.125,
698064,491.25,1183.875,
698248,489.875,1193,
698473,493.5,1188.75,
698674,489.625,1183.125,
698875,492.75,1193.625,
699076,492.5,1184.25,
699266,489.5,1191.75,
699468,493.5,1191.5,
699669,489.875,1182.625,
699872,492.375,1193.375,
700076,492.875,1184.5,
700279,489.375,1190.75,
700498,493.5,1192.5,
700688,490.125,1182.375,
700887,491.75,1192.875,
701110,493.25,1185.125,
701311,489.375,1187.5,
701498,493.25,1193.625,
701700,490.625,1182.5,
701904,490.5,1192,
702106,493.625,1186.625,
702309,489.5,1185,
702529,493,1193.625,
702720,491.5,1182.625,
702919,489.875,1191.25,
703138,493.5,1189.125,
703326,489.625,1183.875,
703528,492.75,1194,
703731,492.25,1183,
703941,489.5,1190.375,
704138,493.5,1190.5,
704341,489.75,1183,
704561,492.125,1193.625,
704766,493,1184,
704979,489.5,1188.5,
705152,493.375,1192.25,
705356,490.125,1182.875,
705565,491.375,1193.5,
705767,493.375,1184.75,
705984,489.5,1186.75,
706168,493.375,1192.875,
706372,490.375,1182.75,
706595,490.625,1193.25,
706795,493.625,1186.125,
706981,489.5,1184.75,
707183,493.125,1193.125,
707388,491,1183,
707591,490.125,1192.875,
707821,493.5,1187.5,
707997,489.375,1183.75,
708219,493.125,1192.625,
708420,491.5,1182.875,
708615,489.875,1192.5,
708830,493.5,1190.25,
709014,489.75,1182.875,
709236,492.625,1192.875,
709422,492.625,1183.25,
709622,489.5,1191.125,
709825,493.5,1192.375,
710028,489.875,1182.875,
710231,492.25,1192.875,
710456,493,1183.5,
710636,489.375,1189.875,
710860,493.375,1193.25,
711062,490,1183.25,
711250,491.625,1193.125,
711450,493.375,1184.125,
711653,489.5,1188.25,
711855,493.375,1193.75,
712079,490.25,1183.375,
712268,490.875,1192.875,
712483,493.625,1185.125,
712671,489.5,1185.625,
712877,493.25,1194.25,
713094,490.75,1183.75,
713277,490.125,1192.5,
713502,493.625,1186.375,
713683,489.5,1184.375,
713886,493,1194.125,
714109,491.375,1184.125,
714314,489.75,1192.125,
714515,493.5,1189.375,
714720,489.75,1183,
714908,492.625,1193.875,
715106,492.375,1184.375,
715313,489.375,1191.125,
715515,493.5,1191.75,
715715,489.875,1182.375,
715918,492.125,1193.5,
716122,493,1185,
716324,489.25,1189.625,
716549,493.375,1192.75,
716734,490.125,1182.25,
716933,491,1193,
717158,493.375,1186.25,
717345,489.375,1186.625,
717548,493.25,1193.875,
717746,490.75,1182.625,
717971,490.25,1192.25,
718170,493.5,1187.75,
718375,489.5,1185,
718562,492.875,1194.125,
718762,491.625,1183.125,
718965,489.75,1191.5,
719188,493.5,1190.125,
719391,489.625,1184.125,
719579,492.625,1194.125,
719777,492.5,1183.5,
719981,489.5,1190.375,
720203,493.5,1191.25,
720390,489.75,1183.5,
720593,492.25,1194,
720795,493,1184,
720995,489.375,1189.125,
721221,493.375,1192.625,
721423,490.125,1183.25,
721611,491.25,1193.625,
721808,493.5,1185.125,
722012,489.375,1185.5,
722214,493.25,1193.125,
722418,490.625,1183.125,
722643,490.5,1193.375,
722823,493.5,1186.75,
723032,489.5,1184.125,
723239,493.125,1193,
723439,491.375,1183.25,
723636,489.875,1192.625,
723862,493.625,1188.375,
724064,489.625,1183,
724265,492.875,1193,
724466,492.125,1183.125,
724654,489.5,1191.75,
724859,493.5,1191.625,
725058,489.75,1182.25,
725264,492.25,1192.5,
725464,493.125,1183.75,
725669,489.375,1190,
725874,493.5,1192.75,
726092,489.875,1182.625,
726277,492,1192.5,
726502,493.25,1184.125,
726682,489.375,1188,
726910,493.375,1193.75,
727088,490.25,1182.75,
727293,490.75,1192.25,
727518,493.625,1184.875,
727721,489.375,1185.875,
727924,493.25,1194.125,
728124,490.75,1183.125,
728312,490.125,1192.125,
728510,493.625,1187.125,
728715,489.5,1183.75,
728918,493,1194,
729127,491.75,1183.875,
729346,489.625,1191.375,
729526,493.5,1190,
729755,489.75,1182.5,
729952,492.5,1193.875,
730164,492.625,1184.5,
730339,489.375,1190.125,
730548,493.5,1191.625,
730761,490,1182.375,
730966,491.75,1193.25,
731173,493.25,1185.125,
731380,489.375,1188.375,
731567,493.25,1192.625,
731779,490.375,1182.25,
731986,490.875,1192.875,
732168,493.5,1186,
732376,489.375,1186.125,
732574,493.125,1193.5,
732776,490.75,1182.125,
733005,490.25,1192.125,
733188,493.5,1186.75,
733386,489.5,1185.375,
733611,493,1193.625,
733792,491.125,1182.625,
734019,489.875,1191.625,
734219,493.625,1187.875,
734411,489.5,1184.75,
734625,492.875,1194,
734815,491.625,1183.125,
735014,489.75,1191.25,
735224,493.5,1189.875,
735419,489.625,1183.875,
735645,492.625,1194.25,
735825,492.5,1183.75,
736048,489.5,1189.75,
736248,493.5,1191.125,
736453,489.75,1183.125,
736643,492.125,1194,
736842,493,1184.25,
737042,489.375,1188.75,
737267,493.375,1192.125,
737450,490,1183,
737653,491.375,1194,
737873,493.25,1185,
738080,489.375,1187.125,
738284,493.25,1192.625,
738465,490.25,1182.75,
738668,490.75,1193.5,
738871,493.5,1186.125,
739074,489.375,1185.75,
739278,493.25,1193.25,
739481,490.625,1182.375,
739684,490.375,1193.125,
739893,493.5,1187,
740090,489.375,1185.125,
740293,493.125,1193.625,
740516,491.125,1182.625,
740717,490,1192.5,
740909,493.625,1188.75,
741110,489.5,1184.5,
741309,493,1193.625,
741532,491.625,1182.75,
741718,489.625,1191.625,
741918,493.5,1190.125,
742138,489.625,1184,
742328,492.625,1193.625,
742535,492.375,1183,
742731,489.5,1190.75,
742934,493.5,1191.5,
743136,489.75,1183.5,
743341,492.25,1193.5,
743547,492.875,1183.5,
743746,489.375,1189.5,
743972,493.5,1191.75,
744175,489.875,1183.375,
744356,492.125,1193.5,
744579,493,1183.75,
744766,489.375,1188.875,
744964,493.5,1192,
745191,490,1183.125,
745390,491.75,1193.75,
745577,493,1184.125,
745781,489.375,1188.875,
745981,493.5,1192,
746184,490,1182.75,
746408,491.625,1193.5,
746608,493.25,1184.875,
746796,489.375,1187.375,
747014,493.375,1192.375,
747221,490.375,1182.75,
747421,490.875,1193.375,
747624,493.25,1185.875,
747809,489.375,1185.125,
748020,493.125,1192.375,
748221,490.625,1182.25,
748418,490.375,1192.875,
748621,493.5,1187.25,
748825,489.375,1184.5,
749030,493,1192.5,
749234,491.375,1182.125,
749434,489.875,1192.375,
749657,493.625,1188.125,
749842,489.5,1184.25,
750060,493,1193,
750267,491.625,1182.375,
750449,489.75,1191.25,
750672,493.5,1189.25,
750875,489.5,1183.75,
751080,492.75,1193.125,
751267,492.125,1182.5,
751467,489.625,1190.75,
751669,493.5,1190.375,
751875,489.75,1183.5,
752074,492.5,1193.5,
752277,492.5,1182.75,
752484,489.5,1189.75,
752687,493.5,1190.875,
752887,489.75,1183.25,
753092,492.5,1193.75,
753296,492.625,1183.375,
753496,489.5,1190,
753719,493.375,1190.5,
753907,489.75,1182.875,
754106,492.125,1193.75,
754329,493,1183.875,
754519,489.25,1188.625,
754721,493.375,1191.75,
754923,490,1182.625,
755121,491.375,1193.625,
755324,493.25,1185.375,
755527,489.375,1186.75,
755730,493.25,1192.5,
755955,490.5,1182.5,
756137,490.375,1193,
756343,493.375,1186.5,
756542,489.375,1185.5,
756766,493.125,1193.125,
756949,490.875,1181.75,
757153,490.125,1192.625,
757355,493.5,1188,
757558,489.5,1184.625,
757762,492.75,1193.375,
757985,491.625,1182.5,
758172,489.75,1192,
758372,493.375,1189,
758580,489.5,1184.375,
758779,492.875,1193.625,
758981,492.25,1182.75,
759184,489.5,1191.125,
759393,493.5,1190.75,
759593,489.625,1184,
759798,492.5,1193.5,
760018,492.625,1183.375,
760203,489.375,1189.875,
760403,493.375,1191.875,
760606,489.875,1183.375,
760830,492,1193.75,
761016,493,1184.125,
761217,489.375,1187.875,
761420,493.375,1192.625,
761622,490.25,1183,
761824,491,1193.625,
762027,493.5,1185.125,
762230,489.375,1185.875,
762454,493.25,1192.875,
762644,490.625,1183,
762862,490.375,1193.125,
763046,493.5,1186.5,
763246,489.5,1184.625,
763465,493.125,1193,
763658,491.25,1182.875,
763856,490,1192.625,
764076,493.5,1188.25,
764268,489.5,1183.75,
764465,492.75,1192.625,
764686,491.875,1182.75,
764877,489.625,1191.75,
765079,493.375,1190.625,
765283,489.625,1183.375,
765481,492.625,1193,
765705,492.5,1182.875,
765891,489.5,1190.75,
766092,493.375,1192.125,
766296,489.875,1183.125,
766517,492.25,1193,
766704,493,1183.375,
766923,489.375,1189.5,
767108,493.375,1192.375,
767313,489.875,1183.375,
767533,492.125,1193,
767720,493.125,1183.625,
767917,489.375,1188.75,
768140,493.25,1192.75,
768345,490,1183.375,
768527,491.375,1193.5,
768731,493.375,1184.125,
768953,489.375,1187.375,
769139,493.25,1192.75,
769350,490.25,1183,
769543,490.75,1193.375,
769750,493.375,1185,
769948,489.5,1185.75,
770173,493.125,1192.875,
770360,490.5,1182.875,
770572,490.625,1193.375,
770779,493.375,1186.125,
770967,489.5,1184.75,
771167,493.25,1192.625,
771371,490.625,1182.75,
771577,490.25,1193.125,
771777,493.5,1186.5,
771982,489.375,1184.625,
772189,493,1193,
772386,491.125,1182.75,
772600,489.75,1192,
772815,493.5,1189.375,
773016,489.625,1183.125,
773222,492.75,1192.75,
773413,492.25,1182.5,
773604,489.375,1191,
773830,493.5,1191.25,
774011,489.75,1182.75,
774214,492.375,1192.875,
774430,492.625,1182.875,
774624,489.25,1189.75,
774823,493.375,1192.375,
775046,489.875,1182.875,
775234,492.125,1192.75,
775432,492.875,1183.125,
775658,489.25,1188.625,
775844,493.375,1192.125,
776067,490,1182.875,
776252,491.375,1192.75,
776453,493.125,1184,
776651,489.375,1186.25,
776854,493.25,1193,
777063,490.375,1182.625,
777268,490.375,1192.625,
777485,493.375,1185,
777667,489.25,1184,
777876,493,1192.875,
778091,490.875,1182.625,
778282,489.875,1192.375,
778479,493.375,1187.375,
778683,489.5,1182.375,
778886,492.75,1192.5,
779110,492,1182.75,
779312,489.5,1191.375,
779504,493.375,1189.875,
779698,489.625,1182,
779901,492.5,1192.125,
780108,492.375,1182.875,
780316,489.375,1190.75,
780511,493.375,1191,
780719,489.75,1182,
780917,492,1192.125,
781120,492.875,1183.125,
781323,489.25,1188.875,
781547,493.25,1192.625,
781734,490.125,1182.5,
781932,491.375,1192.375,
782159,493.25,1183.875,
782358,489.375,1186.75,
782549,493.25,1193.375,
782745,490.375,1182.75,
782966,490.625,1192.25,
783175,493.375,1184.875,
