Time (ms), PV cell voltage (mV), Biosensor current (nA)
51383,489.5,1189.875,
51586,493.625,1192.375,
51790,490.25,1182.75,
51992,490.75,1192,
52195,493.75,1186.375,
52399,489.625,1182.5,
52602,492.875,1193.125,
52804,492.875,1183.625,
53007,489.375,1188.875,
53211,493.5,1192.5,
53428,490.5,1181.5,
53617,490.5,1191.5,
53820,493.625,1188.25,
54023,489.625,1183.375,
54226,492.75,1192.875,
54430,492.875,1182.75,
54632,489.5,1187.625,
54836,493.375,1193,
55038,490.625,1182.75,
55241,490.25,1192,
55445,493.75,1189,
55648,489.75,1181.375,
55851,492.375,1192.625,
56055,493.375,1184.625,
56257,489.5,1186.25,
56460,493.375,1193.375,
56663,491.125,1181.625,
56867,489.875,1191,
57069,493.625,1190.375,
57273,489.875,1182.875,
57475,492.125,1193,
57678,493.5,1183.625,
57883,489.5,1184.625,
58085,493.25,1193.125,
58287,491.375,1183.125,
58490,489.75,1191.5,
58694,493.625,1190.625,
58897,490,1181.375,
59100,491.875,1192.25,
59303,493.5,1185,
59506,489.5,1185.5,
59709,493.25,1193.25,
59912,491.625,1182.375,
60115,489.75,1190,
60319,493.625,1191.375,
60521,490,1182.625,
60725,491.75,1193.125,
60928,493.5,1185.375,
61133,489.5,1183.625,
61334,493,1193,
61542,492.25,1183.5,
61740,489.5,1190.625,
61943,493.5,1192.75,
62148,490.375,1182,
62350,490.625,1192,
62552,493.625,1187,
62756,489.5,1184,
62959,492.875,1193.75,
63161,492.875,1183.5,
63364,489.5,1188.625,
63568,493.5,1192.625,
63791,490.375,1182.75,
63974,490.5,1193.125,
64177,493.625,1187.875,
64380,489.625,1182.625,
64583,492.625,1192.75,
64786,493,1184,
64989,489.5,1189,
65192,493.375,1193.625,
65395,490.625,1182.5,
65598,490.25,1191.625,
65802,493.625,1189,
66005,489.75,1183,
66207,492.5,1193.5,
66412,493.125,1184.125,
66614,489.5,1186.625,
66816,493.375,1192.625,
67021,490.75,1182.5,
67222,490,1192.25,
67426,493.625,1190,
67630,489.75,1182.125,
67832,492.375,1192.25,
68035,493.375,1184.25,
68239,489.5,1186.125,
68442,493.25,1193.875,
68645,491.5,1182.75,
68848,489.75,1190.625,
69052,493.625,1190.5,
69253,490,1182.5,
69458,492.125,1193.375,
69660,493.5,1184.75,
69864,489.5,1184.125,
70067,493.25,1192.75,
70269,491.75,1182.75,
70473,489.625,1191,
70676,493.625,1192,
70878,490.125,1181.75,
71082,491,1191.625,
71285,493.625,1185.5,
71489,489.625,1183.75,
71691,493,1193.25,
71893,492.5,1182.75,
72097,489.5,1188.75,
72300,493.5,1191.5,
72503,490.375,1182.25,
72706,490.625,1192.375,
72910,493.625,1187.375,
73112,489.75,1181.875,
73316,492.75,1191.875,
73519,492.875,1182.75,
73722,489.5,1187.875,
73924,493.375,1192.875,
74128,490.75,1181.625,
74331,490.25,1190.5,
74535,493.5,1187.75,
74737,489.75,1182.25,
74940,492.625,1192.75,
75143,493.125,1183.375,
75347,489.5,1186.125,
75549,493.375,1191.75,
75754,490.875,1181.875,
75956,489.875,1191,
76159,493.625,1190.25,
76362,489.875,1181.125,
76564,492,1191.5,
76768,493.5,1183.75,
76972,489.5,1184.25,
77174,493.125,1192.875,
77378,491.875,1182.125,
77580,489.625,1189.375,
77783,493.625,1189.875,
77986,490,1181.125,
78190,491.75,1192.375,
